Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
E184.6 .L48 2000,E184.6.L482000,"Let nobody turn us around : voices of resistance, reform, and renewal : an African American anthology / editors, Manning Marable, Leith Mullings",Let nobody turn us around : voices of resista…,DOHENY,"Marable, Manning, 1950-2011",31275035129122,1,1571513,BOOKSTACKS,4WK/SEMSTR,-,2000,12/2/2013,24,,E184.6 .L48 2000,E184.6.L482000,"Let nobody turn us around : voices of resistance, reform, and renewal : an African American anthology / editors, Manning Marable, Leith Mullings",LEAVEY,31275035126268,,1,1571513,BOOKSTACKS,4WK/SEMSTR,-,2000,4/3/2000,8/27/2013,32
DS881.9 .B87 2003,DS881.9.B872003,"Inventing Japan, 1853-1964 / Ian Buruma","Inventing Japan, 1853-1964 / Ian Buruma…",DOHENY,"Buruma, Ian",31275037772150,1,2007935,BOOKSTACKS,4WK/SEMSTR,Modern Library ed.,2003,1/11/2014,45,,DS881.9 .B87 2003,DS881.9.B872003,"Inventing Japan, 1853-1964 / Ian Buruma",LEAVEY,31275037685055,,1,2007935,BOOKSTACKS,4WK/SEMSTR,Modern Library ed.,2003,7/16/2003,4/29/2014,32
B385.A5 W38 1994,B385.A5W381994,Symposium / Plato ; translated by Robin Waterfield,Symposium / Plato ; translated by Robin Water…,GRANDDEPOS,Plato,31275025968828,1,671983,BOOKSTACKS,4WK/SEMSTR,-,1994,1/14/2014,35,,B385.A5 W38 1994,B385.A5W381994,Symposium / Plato ; translated by Robin Waterfield,LEAVEY,31275026111105,,1,671983,BOOKSTACKS,4WK/SEMSTR,-,1994,1/11/1997,9/15/2014,32
BF1726 .S66 1997,BF1726.S661997,"Signs of the zodiac : a reference guide to historical, mythological, and cultural associations / Mary Ellen Snodgrass ; illustrated by Raymond Miller Barrett, Jr",Signs of the zodiac : a reference guide to hi…,DOHENY,"Snodgrass, Mary Ellen",31275025056459,1,1116122,BOOKSTACKS,4WK/SEMSTR,-,1997,3/6/2014,22,,BF1726 .S66 1997,BF1726.S661997,"Signs of the zodiac : a reference guide to historical, mythological, and cultural associations / Mary Ellen Snodgrass ; illustrated by Raymond Miller Barrett, Jr",LEAVEY,31275028512896,,1,1116122,BOOKSTACKS,4WK/SEMSTR,-,1997,10/30/1997,9/3/2014,32
JS1438 .D45 1992,JS1438.D451992,"Left coast city : progressive politics in San Francisco, 1975-1991 / Richard Edward DeLeon",Left coast city : progressive politics in San…,VKC,"DeLeon, Richard Edward, 1942-",31275024648207,1,490341,BOOKSTACKS,4WK/SEMSTR,-,1992,5/3/2014,36,,JS1438 .D45 1992,JS1438.D451992,"Left coast city : progressive politics in San Francisco, 1975-1991 / Richard Edward DeLeon",LEAVEY,31275026480815,,1,490341,BOOKSTACKS,4WK/SEMSTR,-,1992,9/24/1996,4/20/2011,32
D843 .G22 2005,D843.G222005,The Cold War : a new history / John Lewis Gaddis,The Cold War : a new history / John Lewis Gad…,DOHENY,"Gaddis, John Lewis",31275041274136,1,2407749,BOOKSTACKS,4WK/SEMSTR,-,2005,5/6/2014,26,,D843 .G22 2005,D843.G222005,The Cold War : a new history / John Lewis Gaddis,LEAVEY,31275041275414,,1,2407749,BOOKSTACKS,4WK/SEMSTR,-,2005,3/1/2006,4/9/2013,32
F68 .B8073 1952,F68.B80731952,"Of Plymouth Plantation, 1620-1647; the complete text, with notes and an introd. by Samuel Eliot Morison","Of Plymouth Plantation, 1620-1647; the comple…",DOHENY,"Bradford, William, 1590-1657",31275036183227,1,628483,BOOKSTACKS,4WK/SEMSTR,New ed.,1952,5/12/2014,13,,F68 .B8073 1952,F68.B80731952,"Of Plymouth Plantation, 1620-1647; the complete text, with notes and an introd. by Samuel Eliot Morison",LEAVEY,31275000841818,,1,628483,BOOKSTACKS,4WK/SEMSTR,New ed.,1952,9/25/1996,11/12/2011,32
PQ6329 .A2 1999,PQ6329.A21999,"Don Quijote : a new translation, backgrounds and contexts, criticism / Miguel de Cervantes ; translated by Burton Raffel ; edited by Diana de Armas Wilson","Don Quijote : a new translation, backgrounds …",DOHENY,"Cervantes Saavedra, Miguel de, 1547-1616",31275029839033,1,1442923,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,5/13/2014,53,,PQ6329 .A2 1999,PQ6329.A21999,"Don Quijote : a new translation, backgrounds and contexts, criticism / Miguel de Cervantes ; translated by Burton Raffel ; edited by Diana de Armas Wilson",LEAVEY,31275029835718,,1,1442923,BOOKSTACKS,4WK/SEMSTR,1st ed.,1999,2/19/1999,1/19/2014,32
HD8110.5 .C65 1991,HD8110.5.C651991,"Shaping the political arena : critical junctures, the labor movement, and regime dynamics in Latin America / Ruth Berins Collier and David Collier",Shaping the political arena : critical junctu…,VKC,"Collier, Ruth Berins",31275053976487,1,484926,BOOKSTACKS,4WK/SEMSTR,-,1991,5/22/2014,61,,HD8110.5 .C65 1991,HD8110.5.C651991,"Shaping the political arena : critical junctures, the labor movement, and regime dynamics in Latin America / Ruth Berins Collier and David Collier",LEAVEY,31275026294299,,1,484926,BOOKSTACKS,4WK/SEMSTR,-,1991,9/24/1996,4/14/2014,32
E185.61 .M37 2000,E185.61.M372000,As long as they don't move next door : segregation and racial conflict in American neighborhoods / Stephen Grant Meyer,As long as they don't move next door : segreg…,DOHENY,"Meyer, Stephen Grant, 1962-",31275035101360,1,1588165,BOOKSTACKS,4WK/SEMSTR,-,2000,5/23/2014,34,,E185.61 .M37 2000,E185.61.M372000,As long as they don't move next door : segregation and racial conflict in American neighborhoods / Stephen Grant Meyer,LEAVEY,31275035101733,,1,1588165,BOOKSTACKS,4WK/SEMSTR,-,2000,3/22/2000,12/1/2011,32
PA4025.A2 B85 1942,PA4025.A2B851942,"The Iliad of Homer; translated by Samuel Butler, edited by Louise R. Loomis",The Iliad of Homer; translated by Samuel Butl…,DOHENY,Homer,31275001128827,2,622233,BOOKSTACKS,4WK/SEMSTR,-,1942,8/26/2014,14,,PA4025.A2 B85 1942,PA4025.A2B851942,"The Iliad of Homer; translated by Samuel Butler, edited by Louise R. Loomis",LEAVEY,31275002684067,,1,622233,BOOKSTACKS,4WK/SEMSTR,-,1942,9/25/1996,11/11/2013,32
E185.86 .D77,E185.86.D77,Drylongso : a self-portrait of Black America / [edited by] John Langston Gwaltney,Drylongso : a self-portrait of Black America …,DOHENY,"Gwaltney, John Langston",31275001416883,1,645213,BOOKSTACKS,4WK/SEMSTR,1st ed.,1980,8/28/2014,35,,E185.86 .D77,E185.86.D77,Drylongso : a self-portrait of Black America / [edited by] John Langston Gwaltney,LEAVEY,31275001427401,,1,645213,BOOKSTACKS,4WK/SEMSTR,1st ed.,1980,9/25/1996,9/4/2014,32
BD648 .B66 1961,BD648.B661961,The image; knowledge in life and society / by Kenneth E. Boulding,The image; knowledge in life and society / by…,DOHENY,"Boulding, Kenneth E. (Kenneth Ewart), 1910-1993",31275001668475,1,637168,BOOKSTACKS,4WK/SEMSTR,-,1961,9/7/2014,21,,BD648 .B66 1961,BD648.B661961,The image; knowledge in life and society / by Kenneth E. Boulding,LEAVEY,31275001434746,,1,637168,BOOKSTACKS,4WK/SEMSTR,-,1961,9/25/1996,1/10/2015,32
BD632 .R413,BD632.R413,The philosophy of space & time,The philosophy of space & time…,PHILOSOPHY,"Reichenbach, Hans, 1891-1953",31275006294384,1,624287,BOOKSTACKS,4WK/SEMSTR,-,1958,9/10/2014,24,,BD632 .R413,BD632.R413,The philosophy of space & time,LEAVEY,31275000693110,,1,624287,BOOKSTACKS,4WK/SEMSTR,-,1958,9/25/1996,11/15/2013,32
NA7238.L6 S78 1995,NA7238.L6S781995,The Los Angeles house : decoration and design in America's 20th-century city / text and photographs by Tim Street-Porter,The Los Angeles house : decoration and design…,AFA,"Street-Porter, Tim",31275027516724,1,961556,BOOKSTACKS,4WK/SEMSTR,1st ed.,1995,10/2/2014,70,,NA7238.L6 S78 1995,NA7238.L6S781995,The Los Angeles house : decoration and design in America's 20th-century city / text and photographs by Tim Street-Porter,LEAVEY,31275027879197,,1,961556,BOOKSTACKS,4WK/SEMSTR,1st ed.,1995,12/16/1996,10/19/2012,32
E443 .E4 1968,E443.E41968,Slavery; a problem in American institutional and intellectual life [by] Stanley M. Elkins,Slavery; a problem in American institutional …,DOHENY,"Elkins, Stanley M",31275000496761,1,620215,BOOKSTACKS,4WK/SEMSTR,2d ed.,1968,11/19/2014,56,,E443 .E4 1968,E443.E41968,Slavery; a problem in American institutional and intellectual life [by] Stanley M. Elkins,LEAVEY,31275000561317,,1,620215,BOOKSTACKS,4WK/SEMSTR,2d ed.,1968,9/25/1996,10/13/2012,32
PR6045.O72 O7 1978,PR6045.O72O71978,Orlando; a biography,Orlando; a biography…,DOHENY,"Woolf, Virginia, 1882-1941",31275000597527,1,993377,BOOKSTACKS,4WK/SEMSTR,-,1973,12/13/2014,16,,PR6045.O72 O7 1978,PR6045.O72O71978,Orlando; a biography,LEAVEY,31275000599507,,1,993377,BOOKSTACKS,4WK/SEMSTR,-,1973,1/4/1997,1/21/2013,32
PL2307 .W4,PL2307.W4,"Chinese lyricism; Shih poetry from the second to the twelfth century, with translations by Burton Watson",Chinese lyricism; Shih poetry from the second…,DOHENY,"Watson, Burton, 1925-",31275037058659,1,63509,BOOKSTACKS,4WK/SEMSTR,-,1971,12/14/2014,10,,PL2307 .W4,PL2307.W4,"Chinese lyricism; Shih poetry from the second to the twelfth century, with translations by Burton Watson",LEAVEY,31275036988930,,1,63509,BOOKSTACKS,4WK/SEMSTR,-,1971,8/2/2002,11/24/2014,32
PR9199.3.A8 O7 2003,PR9199.3.A8O72003,Oryx and Crake : a novel / Margaret Atwood,Oryx and Crake : a novel / Margaret Atwood…,DOHENY,"Atwood, Margaret, 1939-",31275037664027,1,2038172,BOOKSTACKS,4WK/SEMSTR,1st ed.,2003,2/19/2015,34,,PR9199.3.A8 O7 2003,PR9199.3.A8O72003,Oryx and Crake : a novel / Margaret Atwood,LEAVEY,31275037374148,,1,2038172,BOOKSTACKS,4WK/SEMSTR,1st ed.,2003,6/11/2003,12/1/2013,32
TR9 .B35 1991,TR9.B351991,Looking at photographs : a guide to technical terms / Gordon Baldwin,Looking at photographs : a guide to technical…,GRANDDEPOS,"Baldwin, Gordon",31275023193296,1,985048,BOOKSTACKS,4WK/SEMSTR,-,1991,11/24/1991,0,,TR9 .B35 1991,TR9.B351991,Looking at photographs : a guide to technical terms / Gordon Baldwin,LEAVEY,31275026315888,,1,985048,BOOKSTACKS,4WK/SEMSTR,-,1991,1/1/1997,8/23/2010,31
E855 .E35 1982,E855.E351982,Witness to power : the Nixon years / John Ehrlichman,Witness to power : the Nixon years / John Ehr…,GRANDDEPOS,"Ehrlichman, John",31275002610740,1,456423,BOOKSTACKS,4WK/SEMSTR,-,1982,5/20/1997,23,,E855 .E35 1982,E855.E351982,Witness to power : the Nixon years / John Ehrlichman,LEAVEY,31275002208438,,1,456423,BOOKSTACKS,4WK/SEMSTR,-,1982,9/24/1996,2/16/2012,31
PS3553.R48 G7,PS3553.R48G7,The great train robbery / by Michael Crichton,The great train robbery / by Michael Crichton…,GRANDDEPOS,"Crichton, Michael, 1942-2008",31275002570779,1,631851,BOOKSTACKS,4WK/SEMSTR,1st ed.,1975,8/20/1998,10,,PS3553.R48 G7,PS3553.R48G7,The great train robbery / by Michael Crichton,LEAVEY,31275002570787,,1,631851,BOOKSTACKS,4WK/SEMSTR,1st ed.,1975,9/25/1996,4/2/2011,31
PS3505.U334 N5,PS3505.U334N5,95 poems,95 poems…,GRANDDEPOS,"Cummings, E. E. (Edward Estlin), 1894-1962",31275002557578,2,621073,BOOKSTACKS,4WK/SEMSTR,-,1958,12/3/1998,13,,PS3505.U334 N5,PS3505.U334N5,95 poems,LEAVEY,31275002557586,,1,621073,BOOKSTACKS,4WK/SEMSTR,-,1958,9/25/1996,8/31/2010,31
B2430.M3763 T49 1991,B2430.M3763T491991,"Texts and dialogues / Maurice Merleau-Ponty ; edited and with an introduction by Hugh J. Silverman and James Barry, Jr. ; translated by Michael B. Smith, et al",Texts and dialogues / Maurice Merleau-Ponty ;…,GRANDDEPOS,"Merleau-Ponty, Maurice, 1908-1961",31275023782627,1,665797,BOOKSTACKS,4WK/SEMSTR,-,1992,6/11/1999,4,,B2430.M3763 T49 1991,B2430.M3763T491991,"Texts and dialogues / Maurice Merleau-Ponty ; edited and with an introduction by Hugh J. Silverman and James Barry, Jr. ; translated by Michael B. Smith, et al",LEAVEY,31275024273600,,1,668075,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,5/4/2013,31
BF575.D35 V56 1986,BF575.D35V561986,Necessary losses / Judith Viorst,Necessary losses / Judith Viorst…,GRANDDEPOS,"Viorst, Judith",31275019637843,1,100159,BOOKSTACKS,4WK/SEMSTR,-,1986,10/11/1999,3,,BF575.D35 V56 1986,BF575.D35V561986,Necessary losses / Judith Viorst,LEAVEY,31275018082470,,1,100159,BOOKSTACKS,4WK/SEMSTR,-,1986,9/23/1996,9/1/2011,31
N5760 .R36 1991,N5760.R361991,Roman art : Romulus to Constantine / Nancy H. Ramage & Andrew Ramage,Roman art : Romulus to Constantine / Nancy H.…,AFA,"Ramage, Nancy H., 1942-",31275023039176,1,984534,BOOKSTACKS,4WK/SEMSTR,-,1991,1/12/2000,28,,N5760 .R36 1991,N5760.R361991,Roman art : Romulus to Constantine / Nancy H. Ramage & Andrew Ramage,LEAVEY,31275023829006,,1,984534,BOOKSTACKS,4WK/SEMSTR,-,1991,1/1/1997,12/11/2011,31
JC423 .H47 1987b,JC423.H471987b,Models of democracy / David Held,Models of democracy / David Held…,VKC,"Held, David",31275025695199,1,467149,BOOKSTACKS,4WK/SEMSTR,-,1987,12/21/2000,1,,JC423 .H47 1987b,JC423.H471987b,Models of democracy / David Held,LEAVEY,31275018686031,,1,467149,BOOKSTACKS,4WK/SEMSTR,-,1987,9/24/1996,11/8/2014,31
E184.M5 R4,E184.M5R4,Chicano manifesto / [by] Armando B. Rendon,Chicano manifesto / [by] Armando B. Rendon…,GRANDDEPOS,"Rendón, Armando B",31275006732912,1,618861,BOOKSTACKS,4WK/SEMSTR,-,1971,10/9/2001,10,,E184.M5 R4,E184.M5R4,Chicano manifesto / [by] Armando B. Rendon,LEAVEY,31275004129657,,1,618861,BOOKSTACKS,4WK/SEMSTR,-,1971,9/25/1996,8/30/2014,31
QP86 .H35,QP86.H35,"Handbook of the biology of aging / editors, Caleb E. Finch, Leonard Hayflick, with the assistance of associate editors Harold Brody, Isadore Rossman, F. Marott Sinex","Handbook of the biology of aging / editors, C…",GERO,"Finch, Caleb, 1939-",31275017438491,1,43019,BOOKSTACKS,4WK/SEMSTR,-,1977,10/15/2001,4,,QP86 .H35,QP86.H35,"Handbook of the biology of aging / editors, Caleb E. Finch, Leonard Hayflick, with the assistance of associate editors Harold Brody, Isadore Rossman, F. Marott Sinex",LEAVEY,31275000560798,,1,43019,BOOKSTACKS,4WK/SEMSTR,-,1977,9/23/1996,9/11/2010,31
DS735 .F28,DS735.F28,"China : tradition & transformation / John K. Fairbank, Edwin O. Reischauer",China : tradition & transformation / John K. …,GRANDDEPOS,"Fairbank, John King, 1907-1991",31275002775063,1,640434,BOOKSTACKS,4WK/SEMSTR,-,1978,10/26/2001,43,,DS735 .F28,DS735.F28,"China : tradition & transformation / John K. Fairbank, Edwin O. Reischauer",LEAVEY,31275025191439,,1,640434,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,12/20/2012,31
HM57 .W342 V.2,HM57.W342V.2,Economy and society; an outline of interpretive sociology. Edited by Guenther Roth and Claus Wittich. Translators: Ephraim Fischoff [and others],Economy and society; an outline of interpreti…,GRANDDEPOS,"Weber, Max, 1864-1920",31275006400130,1,625473,BOOKSTACKS,4WK/SEMSTR,-,1968,7/31/2002,37,,HM57 .W342 V.2,HM57.W342V.2,Economy and society; an outline of interpretive sociology. Edited by Guenther Roth and Claus Wittich. Translators: Ephraim Fischoff [and others],LEAVEY,31275000675125,,1,625473,BOOKSTACKS,4WK/SEMSTR,-,1968,9/25/1996,5/2/2012,31
HV6431 .S358 1988,HV6431.S3581988,"Political terrorism : a new guide to actors, authors, concepts, data bases, theories and literature / Alex P. Schmid and Albert J. Jongman ; with the collaboration of Michael Stohl ... [et al.] ; foreword by I.L. Horowitz","Political terrorism : a new guide to actors, …",GRANDDEPOS,"Schmid, Alex Peter",31275035382432,1,471126,BOOKSTACKS,4WK/SEMSTR,"Rev., expanded and updated ed.",1988,9/30/2003,5,,HV6431 .S358 1988,HV6431.S3581988,"Political terrorism : a new guide to actors, authors, concepts, data bases, theories and literature / Alex P. Schmid and Albert J. Jongman ; with the collaboration of Michael Stohl ... [et al.] ; foreword by I.L. Horowitz",LEAVEY,31275036462654,,1,471126,BOOKSTACKS,4WK/SEMSTR,"Rev., expanded and updated ed.",1988,1/12/2002,11/26/2013,31
PS3535.I233 Z87 1984,PS3535.I233Z871984,"Reading Adrienne Rich : reviews and re-visions, 1951-81 / edited by Jane Roberta Cooper",Reading Adrienne Rich : reviews and re-vision…,DOHENY,"Cooper, Jane Roberta, 1959-",31275021562062,1,613471,BOOKSTACKS,4WK/SEMSTR,-,1984,10/15/2003,17,,PS3535.I233 Z87 1984,PS3535.I233Z871984,"Reading Adrienne Rich : reviews and re-visions, 1951-81 / edited by Jane Roberta Cooper",LEAVEY,31275016579030,,1,613471,BOOKSTACKS,4WK/SEMSTR,-,1984,9/25/1996,1/14/2014,31
N6915 .L44,N6915.L44,The Renaissance / Rosa Maria Letts,The Renaissance / Rosa Maria Letts…,AFA,"Letts, Rosa Maria",31275002132158,1,646126,BOOKSTACKS,4WK/SEMSTR,-,1981,12/1/2003,14,,N6915 .L44,N6915.L44,The Renaissance / Rosa Maria Letts,LEAVEY,31275001832451,,1,646126,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,10/17/2010,31
B2799.M5 H43 1990,B2799.M5H431990,Kant and the problem of metaphysics / Martin Heidegger ; translated by Richard Taft,Kant and the problem of metaphysics / Martin …,PHILOSOPHY,"Heidegger, Martin, 1889-1976",31275022764287,1,663114,BOOKSTACKS,4WK/SEMSTR,"4th ed., enlarged.",1990,1/13/2004,25,,B2799.M5 H43 1990,B2799.M5H431990,Kant and the problem of metaphysics / Martin Heidegger ; translated by Richard Taft,LEAVEY,31275023842298,,1,668592,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,5/2/2014,31
PR6019.O9 P6455 1988,PR6019.O9P64551988,James Joyce's A portrait of the artist as a young man / edited and with an introduction by Harold Bloom,James Joyce's A portrait of the artist as a y…,DOHENY,"Bloom, Harold",31275021205449,1,660186,BOOKSTACKS,4WK/SEMSTR,-,1988,1/21/2004,36,,PR6019.O9 P6455 1988,PR6019.O9P64551988,James Joyce's A portrait of the artist as a young man / edited and with an introduction by Harold Bloom,LEAVEY,31275026456161,,1,660186,BOOKSTACKS,4WK/SEMSTR,-,1988,9/25/1996,6/26/2012,31
TR820.5 .O93,TR820.5.O93,"Documentary photography : a personal view / by Bill Owens ; [design by Guy Russell ; editor, Scott Lowe]",Documentary photography : a personal view / b…,GRANDDEPOS,"Owens, Bill",31275005394326,1,614558,BOOKSTACKS,4WK/SEMSTR,-,1978,3/9/2004,8,,TR820.5 .O93,TR820.5.O93,"Documentary photography : a personal view / by Bill Owens ; [design by Guy Russell ; editor, Scott Lowe]",LEAVEY,31275001983601,,1,614558,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,5/8/2013,31
B3318.M4 K6413 1993,B3318.M4K64131993,"Nietzsche and metaphor / Sarah Kofman ; translated, with an introduction, additional notes, and a bibliography by Duncan Large",Nietzsche and metaphor / Sarah Kofman ; trans…,GRANDDEPOS,"Kofman, Sarah",31275025818049,1,671871,BOOKSTACKS,4WK/SEMSTR,-,1993,8/30/2004,15,,B3318.M4 K6413 1993,B3318.M4K64131993,"Nietzsche and metaphor / Sarah Kofman ; translated, with an introduction, additional notes, and a bibliography by Duncan Large",LEAVEY,31275026453028,,1,671871,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,12/5/2011,31
PN6147 .S3,PN6147.S3,The art of laughter / Neil Schaeffer,The art of laughter / Neil Schaeffer…,DOHENY,"Schaeffer, Neil, 1940-",31275001718064,1,648534,BOOKSTACKS,4WK/SEMSTR,-,1981,9/28/2004,23,,PN6147 .S3,PN6147.S3,The art of laughter / Neil Schaeffer,LEAVEY,31275003500866,,1,648534,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,5/29/2012,31
HF5429.215.U6 V36 1994,HF5429.215.U6V361994,"Wal-Mart : a history of Sam Walton's retail phenomenon / Sandra S. Vance, Roy V. Scott",Wal-Mart : a history of Sam Walton's retail p…,GRANDDEPOS,"Vance, Sandra Stringer, 1946-",31275026551300,1,833117,BOOKSTACKS,4WK/SEMSTR,-,1994,10/21/2004,21,,HF5429.215.U6 V36 1994,HF5429.215.U6V361994,"Wal-Mart : a history of Sam Walton's retail phenomenon / Sandra S. Vance, Roy V. Scott",LEAVEY,31275027587097,,1,833117,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,9/30/2010,31
HM131 .H238 1992,HM131.H2381992,"Dynamics of Organizational populations / Michael T. Hannan, Glenn R. Carroll",Dynamics of Organizational populations / Mich…,GRANDDEPOS,"Hannan, Michael T",31275023815427,1,830703,BOOKSTACKS,4WK/SEMSTR,-,1992,12/9/2004,11,,HM131 .H238 1992,HM131.H2381992,"Dynamics of Organizational populations / Michael T. Hannan, Glenn R. Carroll",LEAVEY,31275026337718,,1,830703,BOOKSTACKS,4WK/SEMSTR,-,1992,9/26/1996,8/19/2013,31
HQ76.3.U5 B64 1996,HQ76.3.U5B641996,Psychology and sexual orientation : coming to terms / Janis S. Bohan,Psychology and sexual orientation : coming to…,DOHENY,"Bohan, Janis S",31275028360098,1,1042919,BOOKSTACKS,4WK/SEMSTR,-,1996,1/4/2005,20,,HQ76.3.U5 B64 1996,HQ76.3.U5B641996,Psychology and sexual orientation : coming to terms / Janis S. Bohan,LEAVEY,31275028410703,,1,1042919,BOOKSTACKS,4WK/SEMSTR,-,1996,3/26/1997,7/13/2014,31
JC571 .F24 1981,JC571.F241981,Human rights and state sovereignty / Richard Falk,Human rights and state sovereignty / Richard …,VKC,"Falk, Richard A",31275038933843,1,647051,BOOKSTACKS,4WK/SEMSTR,-,1981,12/6/2005,1,,JC571 .F24 1981,JC571.F241981,Human rights and state sovereignty / Richard Falk,LEAVEY,31275001856518,,1,647051,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,4/22/2012,31
TP248.6 .A52 1999x,TP248.6.A521999x,"Genetic engineering, food, and our environment / Luke Anderson","Genetic engineering, food, and our environmen…",SCIENCE,"Anderson, Luke",31275029770246,1,1532272,BOOKSTACKS,4WK/SEMSTR,-,1999,2/20/2007,28,,TP248.6 .A52 1999x,TP248.6.A521999x,"Genetic engineering, food, and our environment / Luke Anderson",LEAVEY,31275029688646,,1,1532272,BOOKSTACKS,4WK/SEMSTR,-,1999,12/17/1999,11/30/2012,31
DG575.M8 A63 1994,DG575.M8A631994,Mussolini's empire : the rise and fall of the fascist vision / Edwin P. Hoyt,Mussolini's empire : the rise and fall of the…,DOHENY,"Hoyt, Edwin P. (Edwin Palmer), 1923-",31275025915845,1,362165,BOOKSTACKS,4WK/SEMSTR,-,1994,4/12/2007,16,,DG575.M8 A63 1994,DG575.M8A631994,Mussolini's empire : the rise and fall of the fascist vision / Edwin P. Hoyt,LEAVEY,31275027475012,,1,362165,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,5/6/2011,31
Q125 .B947 1985,Q125.B9471985,The day the universe changed / James Burke,The day the universe changed / James Burke…,GRANDDEPOS,"Burke, James, 1936-",31275042391160,1,656952,BOOKSTACKS,4WK/SEMSTR,1st American ed.,1985,5/2/2007,0,,Q125 .B947 1985,Q125.B9471985,The day the universe changed / James Burke,LEAVEY,31275018338831,,1,656952,BOOKSTACKS,4WK/SEMSTR,1st American ed.,1985,9/25/1996,8/22/2014,31
PR6003.E282 Z585 1994,PR6003.E282Z5851994,The Cambridge companion to Beckett / edited by John Pilling,The Cambridge companion to Beckett / edited b…,GRANDDEPOS,"Pilling, John",31275042398025,1,359299,BOOKSTACKS,4WK/SEMSTR,-,1994,7/23/2007,0,,PR6003.E282 Z585 1994,PR6003.E282Z5851994,The Cambridge companion to Beckett / edited by John Pilling,LEAVEY,31275027589614,,1,359299,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,1/10/2013,31
PS3505.H3224 Z48 1981,PS3505.H3224Z481981,Selected letters of Raymond Chandler / edited by Frank MacShane,Selected letters of Raymond Chandler / edited…,DOHENY,"Chandler, Raymond, 1888-1959",31275006793104,1,648199,BOOKSTACKS,4WK/SEMSTR,-,1981,9/27/2007,32,,PS3505.H3224 Z48 1981,PS3505.H3224Z481981,Selected letters of Raymond Chandler / edited by Frank MacShane,LEAVEY,31275001667352,,1,648199,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,4/11/2011,31
P120.S48 C73 1995,P120.S48C731995,Talking difference : on gender and language / Mary Crawford,Talking difference : on gender and language /…,DOHENY,"Crawford, Mary (Mary E.)",31275028098730,1,941650,BOOKSTACKS,4WK/SEMSTR,-,1995,2/8/2008,35,,P120.S48 C73 1995,P120.S48C731995,Talking difference : on gender and language / Mary Crawford,LEAVEY,31275028007244,,1,941650,BOOKSTACKS,4WK/SEMSTR,-,1995,12/19/1996,12/23/2012,31
BJ1012 .H56 2000,BJ1012.H562000,Contemporary moral issues : diversity and consensus / Lawrence M. Hinman,Contemporary moral issues : diversity and con…,PHILOSOPHY,"Hinman, Lawrence M",31275035105379,1,1591322,BOOKSTACKS,4WK/SEMSTR,2nd ed.,2000,9/2/2008,7,,BJ1012 .H56 2000,BJ1012.H562000,Contemporary moral issues : diversity and consensus / Lawrence M. Hinman,LEAVEY,31275034335746,,1,1591322,BOOKSTACKS,4WK/SEMSTR,2nd ed.,2000,6/13/2000,2/6/2012,31
QP495 .S73 1994,QP495.S731994,"Artful science : enlightenment, entertainment, and the eclipse of visual education / Barbara Maria Stafford","Artful science : enlightenment, entertainment…",AFA,"Stafford, Barbara Maria, 1941-",31275026073586,1,961204,BOOKSTACKS,4WK/SEMSTR,-,1994,9/16/2008,35,,QP495 .S73 1994,QP495.S731994,"Artful science : enlightenment, entertainment, and the eclipse of visual education / Barbara Maria Stafford",LEAVEY,31275027549535,,1,961204,BOOKSTACKS,4WK/SEMSTR,-,1994,12/16/1996,9/2/2011,31
QP475 .T68 1996,QP475.T681996,An introduction to the visual system / Martin J. Tovée,An introduction to the visual system / Martin…,SCIENCE,"Tovée, M. J. (Martin James)",31275028480748,1,1058331,BOOKSTACKS,4WK/SEMSTR,-,1996,12/4/2008,29,,QP475 .T68 1996,QP475.T681996,An introduction to the visual system / Martin J. Tovée,LEAVEY,31275028705490,,1,1058331,BOOKSTACKS,4WK/SEMSTR,-,1996,11/4/1997,8/17/2011,31
DS632.K6 H68 1993,DS632.K6H681993,"The play of time : Kodi perspectives on calendars, history, and exchange / Janet Hoskins",The play of time : Kodi perspectives on calen…,DOHENY,"Hoskins, Janet",31275038485976,1,671484,BOOKSTACKS,4WK/SEMSTR,-,1993,4/14/2009,3,,DS632.K6 H68 1993,DS632.K6H681993,"The play of time : Kodi perspectives on calendars, history, and exchange / Janet Hoskins",LEAVEY,31275020714136,,1,671484,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,2/13/2011,31
